,BEGIN_TIME,EVENT_ID,END_TIME,EVENT_TYPE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE,END_DATE,AFFECTED,DAMAGE,LABEL
3512,1736.0,179387.0,2230.0,Flash Flood,42.1567,-88.9446,42.4138,-88.9446,06/2009/19,06/2009/19,0,0.0,1
3513,200.0,183662.0,2200.0,Flash Flood,42.8845,-112.43,42.87,-112.43,06/2009/14,06/2009/14,0,8000.0,1
3514,1557.0,182813.0,1745.0,Flash Flood,33.1881,-99.8946,33.1927,-99.8822,06/2009/10,06/2009/10,0,0.0,1
3515,1600.0,182815.0,1800.0,Flash Flood,32.7812,-99.7061,32.785,-99.7205,06/2009/10,06/2009/10,0,0.0,1
3516,1630.0,184652.0,1830.0,Flash Flood,45.2,-101.21,45.183,-101.2723,06/2009/15,06/2009/15,0,10000.0,1
3517,1745.0,185030.0,1830.0,Flash Flood,35.444,-82.49799999999999,35.436,-82.501,06/2009/8,06/2009/8,0,10000.0,1
3518,825.0,185014.0,1030.0,Flash Flood,35.32,-80.733,35.313,-80.702,06/2009/5,06/2009/5,0,0.0,1
3519,1130.0,185017.0,1300.0,Flash Flood,35.393,-80.615,35.355,-80.645,06/2009/5,06/2009/5,0,0.0,1
3520,1300.0,183037.0,1330.0,Flash Flood,36.0945,-89.8966,36.0859,-89.8877,06/2009/15,06/2009/15,0,0.0,1
3521,1205.0,183724.0,1645.0,Flash Flood,42.87,-112.43,42.8598,-112.444,06/2009/26,06/2009/26,0,700000.0,1
3522,627.0,182882.0,715.0,Flash Flood,35.1721,-90.8,35.1611,-90.7941,06/2009/14,06/2009/14,0,0.0,1
3523,630.0,182885.0,715.0,Flash Flood,35.6962,-90.5229,35.6961,-90.4676,06/2009/14,06/2009/14,0,0.0,1
3524,356.0,178890.0,656.0,Flash Flood,38.39,-85.76,38.3822,-85.7544,06/2009/26,06/2009/26,0,0.0,1
3525,403.0,178892.0,603.0,Flash Flood,38.3347,-85.8719,38.3399,-85.8709,06/2009/26,06/2009/26,0,0.0,1
3526,400.0,171980.0,2359.0,Flood,33.3996,-92.6395,33.5556,-92.8455,05/2009/4,05/2009/31,0,600000.0,1
3527,652.0,174608.0,1200.0,Flash Flood,41.623999999999995,-87.223,41.6627,-87.0638,06/2009/11,06/2009/11,0,5000.0,1
3528,1715.0,185041.0,1830.0,Flash Flood,35.917,-81.548,35.906,-81.548,06/2009/10,06/2009/10,0,20000.0,1
3529,1615.0,183772.0,1650.0,Flash Flood,36.8511,-84.1388,36.8164,-84.1474,06/2009/17,06/2009/17,0,0.0,1
3530,200.0,185558.0,1000.0,Flash Flood,42.1991,-89.6861,41.9452,-89.6919,06/2009/22,06/2009/22,0,250000.0,1
3531,1418.0,179800.0,1600.0,Flood,42.0161,-87.8717,42.0032,-87.8719,06/2009/24,06/2009/24,0,0.0,1
3532,444.0,185088.0,830.0,Flood,42.0535,-80.2579,42.1319,-79.964,06/2009/30,06/2009/30,0,500000.0,1
3533,1645.0,197852.0,2330.0,Flash Flood,34.8941,-94.4464,34.735,-94.4508,10/2009/29,10/2009/29,0,525000.0,1
3534,2100.0,185045.0,2200.0,Flash Flood,34.95,-80.54,34.936,-80.541,06/2009/10,06/2009/10,0,0.0,1
3535,830.0,185178.0,1430.0,Flash Flood,42.0855,-79.9983,42.0636,-80.0206,06/2009/30,06/2009/30,0,6250000.0,1
3536,2315.0,182427.0,15.0,Flash Flood,36.209,-94.13,36.18,-94.1659,06/2009/9,06/2009/10,0,0.0,1
3537,620.0,179550.0,640.0,Flash Flood,35.5948,-91.2106,35.5988,-91.2909,06/2009/14,06/2009/14,0,10000.0,1
