,Unnamed: 0,Unnamed: 0.1,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE,precip2,precip1,LABEL,DAMS
210,210,210,156883,2,0,8,38.9789,-86.9667,02/2009/11,7.5,19.7,1,13.42324067
211,211,211,156903,2,0,8,38.9218,-87.1003,02/2009/11,1.6,12.5,1,20.44487306
212,212,212,156904,17,0,8,38.8204,-87.2448,02/2009/11,1.6,10.3,1,30.13378696
213,213,213,207930,4,0,8,38.001,-90.0577,12/2009/24,16.6,72.6,1,9.762930444
214,214,214,160969,8,0,8,31.25,-90.47,03/2009/27,48.1,71.6,1,86.12893282
215,215,215,157302,2,0,8,39.1355,-87.6621,03/2009/11,14.6,8.6,1,15.50223187
216,216,216,155392,3,0,8,33.93,-89.33,02/2009/27,0.5,32.6,1,42.49003862
217,217,217,163358,4,0,8,31.2282,-83.9081,03/2009/31,0,35.9,1,69.5680797
218,218,218,207933,0,0,8,37.6208,-90.1593,12/2009/24,15.3,91.7,1,42.63973436
219,219,219,157251,15,0,1,39.7377,-87.3858,03/2009/11,43.5,4.3,1,27.27224806
220,220,220,174915,5,0,8,37.4197,-86.4852,05/2009/27,1.3,9.3,1,22.13749492
221,221,221,174917,6,0,8,37.4231,-86.8929,05/2009/27,1.7,7.5,1,40.07354515
222,222,222,159214,14,0,8,38.05,-93.7,03/2009/24,3.6,31.8,1,34.32981946
223,223,223,159215,21,0,8,36.87,-94.37,03/2009/24,0.7,9.9,1,44.74087057
224,224,224,144656,10,0,8,36.88,-83.87,01/2009/7,75.1,35.9,1,26.9417775
225,225,225,157250,6,0,8,39.8175,-87.388,03/2009/9,54,0.1,1,29.43688696
226,226,226,148698,5,0,8,41.7424,-96.7394,02/2009/10,7.5,0,1,86.35262398
227,227,227,153235,52,0,8,46.4402,-97.6949,03/2009/27,2.1,0.3,1,53.71907683
228,228,228,202351,5,0,8,36.93,-90.28,12/2009/24,15.9,129.6,1,0.305870014
229,229,229,159216,2,0,8,38.29,-93.38,03/2009/24,3,35.4,1,3.613417165
230,230,230,159219,305,0,8,37.16,-93.33,03/2009/24,1,33.8,1,19.25013668
231,231,231,156682,18,0,8,40.121,-85.6869,02/2009/12,25.7,0.3,1,30.51415119
232,232,232,156697,904,0,7,39.9209,-86.072,02/2009/12,15.4,0.1,1,7.649554847
233,233,233,161518,932,0,8,42.9805,-78.7681,03/2009/9,18.4,1.4,1,27.4703927
234,234,234,161519,52,0,8,43.0986,-77.8738,03/2009/9,6.3,3.8,1,38.90241297
235,235,235,202356,7,0,8,37.4144,-90.0467,12/2009/24,12.1,110.4,1,48.98115804
236,236,236,202361,7,0,8,36.58,-90.98,12/2009/24,29.1,145.7,1,58.19822123
237,237,237,204159,26,0,8,37.3074,-89.5118,12/2009/29,0,0.1,1,43.81074322
238,238,238,156699,251,0,7,39.9008,-86.1181,02/2009/12,32.3,0.8,1,11.46060546
239,239,239,156910,8,0,8,40.4031,-86.9451,02/2009/28,5.7,0,1,32.51256511
240,240,240,157248,7,0,1,40.1878,-87.4263,03/2009/9,67.4,0.3,1,60.31727805
241,241,241,197709,17,0,8,38.5157,-87.2872,10/2009/10,15.6,0.2,1,20.14122865
242,242,242,157245,87,0,5,40.4715,-86.8852,03/2009/8,36.1,65.9,1,23.40546566
243,243,243,156905,17,0,8,38.8204,-87.2448,02/2009/11,1.6,10.3,1,30.13378696
244,244,244,156906,5,0,7,38.5084,-87.3715,02/2009/11,5.8,11.5,1,27.52043353
245,245,245,156907,7,0,8,38.4908,-87.541,02/2009/12,9.9,0,1,25.15278772
246,246,246,153231,15,0,8,47.7851,-96.6276,03/2009/24,14.8,26.9,1,38.97641824
247,247,247,153233,639,0,8,46.8772,-96.78,03/2009/27,1.9,0.4,1,62.4980045
248,248,248,202337,2,0,8,37.38,-89.8157,12/2009/24,10.6,97.9,1,54.62470463
249,249,249,156059,3,0,7,39.3843,-87.5322,02/2009/11,6.3,53.4,1,23.02519783
250,250,250,161515,471,0,7,42.8558,-78.7563,03/2009/8,12.5,18.4,1,38.64802746
251,251,251,156387,14,0,8,37.2851,-89.525,03/2009/31,0,11.1,1,46.54988264
252,252,252,159222,1,0,6,37.5903,-94.2311,03/2009/24,0.7,23.7,1,42.18076794
253,253,253,157045,31,0,8,31.7093,-81.7333,03/2009/28,0.8,19.6,1,161.7621414
254,254,254,157049,38,0,8,31.85,-81.6,03/2009/28,0.7,20.9,1,145.8727264
255,255,255,156868,133,0,8,39.4919,-86.358,02/2009/11,8.4,29.9,1,24.99903844
256,256,256,156869,12,0,8,39.5044,-86.4209,02/2009/11,8.4,29.9,1,25.88678752
257,257,257,161520,4,0,8,43.004,-77.7827,03/2009/9,21.5,19.2,1,28.69599571
258,258,258,156872,61,0,8,39.2817,-86.7498,02/2009/11,6.1,14.1,1,26.83810828
259,259,259,163351,54,0,8,30.4326,-83.6273,03/2009/31,0,42.4,1,97.89568834
260,260,260,161521,51,0,8,42.0736,-78.4623,03/2009/11,18.5,10.4,1,24.66553682
261,261,261,156062,26,0,8,40.3001,-87.2479,02/2009/11,6.8,65.9,1,57.57507725
262,262,262,161499,23,0,8,31.08,-88.23,03/2009/28,116.6,47,1,41.84510757
263,263,263,161500,340,0,8,30.7,-88.08,03/2009/28,79.3,70.1,1,24.48260723
264,264,264,161501,37,0,8,30.47,-88.2996,03/2009/28,55.2,59,1,27.42906168
265,265,265,161506,171,0,8,30.62,-87.75,03/2009/28,51.1,78.6,1,56.98223865
266,266,266,163756,3,0,8,29.9359,-100.0019,05/2009/27,1.2,17.9,1,112.0435819
267,267,267,149949,0,0,0,36.7555,-116.9948,02/2009/7,5,16.4,1,109.3520883
268,268,268,149952,3,0,0,34.0232,-115.2699,02/2009/7,0,12.1,1,100.5984844
269,269,269,161512,485,0,8,42.8313,-78.779,03/2009/7,5.7,11,1,40.00037904
270,270,270,172988,62,0,8,30.35,-81.81,05/2009/20,51.8,29,1,93.64993887
271,271,271,156275,3,0,7,39.7328,-87.3568,02/2009/11,1.2,36.1,1,24.76321086
272,272,272,156276,3,0,7,39.7328,-87.3568,02/2009/11,1.2,36.1,1,24.76321086
273,273,273,171743,0,0,0,39.904,-101.995,05/2009/21,1,6.6,1,34.91430305
274,274,274,171408,4,0,8,35.2,-77.55,06/2009/9,7.8,7.9,1,70.19802756
275,275,275,172990,2234,0,8,30.3329,-81.6521,05/2009/21,29,53.3,1,92.95389028
276,276,276,173002,1,0,7,43.7234,-100.23,02/2009/10,10.5,7.2,1,71.82755417
277,277,277,156279,6,0,8,39.5099,-87.4275,02/2009/11,6.3,53.4,1,33.67209731
278,278,278,162996,18,0,8,39.1257,-88.6121,04/2009/30,2.4,17.6,1,0.594389974
279,279,279,163696,15,0,8,29.3113,-98.1924,05/2009/27,0,1.2,1,11.66244844
280,280,280,162757,8,0,8,41.3571,-87.3569,04/2009/5,0,18.6,1,74.73843429
281,281,281,162759,272,0,8,41.5701,-87.3405,04/2009/5,0,18.3,1,79.37576446
282,282,282,162768,239,0,7,41.9257,-88.1311,04/2009/26,16.8,9.4,1,63.31982107
